task, setting, vocab_alpha, lapt_alpha, vocab_size, lapt_steps, language, seed, accuracy
pos, zero-shot, NA, 0.1, 0, 400000, kpv, 1, 80.32
pos, zero-shot, NA, 0.1, 0, 400000, krl, 1, 86.49
pos, zero-shot, NA, 0.1, 0, 400000, mdf, 1, 79.49
pos, zero-shot, NA, 0.1, 0, 400000, olo, 1, 85.22
pos, zero-shot, NA, 0.1, 0, 400000, sms, 1, 57.01
pos, zero-shot, NA, 0.1, 0, 400000, kpv, 2, 79.75
pos, zero-shot, NA, 0.1, 0, 400000, krl, 2, 86.75
pos, zero-shot, NA, 0.1, 0, 400000, mdf, 2, 79.51
pos, zero-shot, NA, 0.1, 0, 400000, olo, 2, 85.35
pos, zero-shot, NA, 0.1, 0, 400000, sms, 2, 57.08
pos, zero-shot, NA, 0.1, 0, 400000, kpv, 3, 80.09
pos, zero-shot, NA, 0.1, 0, 400000, krl, 3, 87.07
pos, zero-shot, NA, 0.1, 0, 400000, mdf, 3, 79.27
pos, zero-shot, NA, 0.1, 0, 400000, olo, 3, 85.62
pos, zero-shot, NA, 0.1, 0, 400000, sms, 3, 55.42
pos, zero-shot, NA, 0.1, 0, 400000, kpv, 4, 79.98
pos, zero-shot, NA, 0.1, 0, 400000, krl, 4, 86.65
pos, zero-shot, NA, 0.1, 0, 400000, mdf, 4, 79.17
pos, zero-shot, NA, 0.1, 0, 400000, olo, 4, 84.48
pos, zero-shot, NA, 0.1, 0, 400000, sms, 4, 54.87
pos, full-train, 0.2, 0.1, 65538, 100000, myv, 1, 72.48
pos, full-train, 0.2, 0.1, 65538, 100000, myv, 2, 62.35
pos, full-train, 0.2, 0.1, 65538, 100000, myv, 3, 75.24
pos, full-train, 0.2, 0.1, 65538, 100000, myv, 4, 76.54
pos, full-train, 0.2, 0.1, 65538, 100000, sme, 1, 81.04
pos, full-train, 0.2, 0.1, 65538, 100000, sme, 2, 78.69
pos, full-train, 0.2, 0.1, 65538, 100000, sme, 3, 79.39
pos, full-train, 0.2, 0.1, 65538, 100000, sme, 4, 81.94
pos, full-train, 0.2, 0.1, 65538, 100000, et, 1, 94.95
pos, full-train, 0.2, 0.1, 65538, 100000, et, 2, 95.7
pos, full-train, 0.2, 0.1, 65538, 100000, et, 3, 95.64
pos, full-train, 0.2, 0.1, 65538, 100000, et, 4, 95.54
pos, full-train, 0.2, 0.1, 65538, 100000, fi, 1, 97.05
pos, full-train, 0.2, 0.1, 65538, 100000, fi, 2, 97.01
pos, full-train, 0.2, 0.1, 65538, 100000, fi, 3, 97.01
pos, full-train, 0.2, 0.1, 65538, 100000, fi, 4, 96.95
pos, full-train, 0.2, 0.1, 65538, 100000, hu, 1, 95.48
pos, full-train, 0.2, 0.1, 65538, 100000, hu, 2, 95.25
pos, full-train, 0.2, 0.1, 65538, 100000, hu, 3, 95.31
pos, full-train, 0.2, 0.1, 65538, 100000, hu, 4, 90.77
pos, full-train, 0.2, 0.1, 65538, 100000, ru, 1, 98.38
pos, full-train, 0.2, 0.1, 65538, 100000, ru, 2, 98.43
pos, full-train, 0.2, 0.1, 65538, 100000, ru, 3, 98.45
pos, full-train, 0.2, 0.1, 65538, 100000, ru, 4, 98.44
pos, full-train, 0.2, 0.2, 32770, 400000, myv, 1, 80.92
pos, full-train, 0.2, 0.2, 32770, 400000, myv, 2, 78.07
pos, full-train, 0.2, 0.2, 32770, 400000, myv, 3, 81.12
pos, full-train, 0.2, 0.2, 32770, 400000, myv, 4, 82.05
pos, full-train, 0.2, 0.2, 32770, 400000, sme, 1, 90.81
pos, full-train, 0.2, 0.2, 32770, 400000, sme, 2, 90.71
pos, full-train, 0.2, 0.2, 32770, 400000, sme, 3, 90.09
pos, full-train, 0.2, 0.2, 32770, 400000, sme, 4, 90.92
pos, full-train, 0.2, 0.2, 32770, 400000, et, 1, 95.73
pos, full-train, 0.2, 0.2, 32770, 400000, et, 2, 95.84
pos, full-train, 0.2, 0.2, 32770, 400000, et, 3, 95.14
pos, full-train, 0.2, 0.2, 32770, 400000, et, 4, 95.73
pos, full-train, 0.2, 0.2, 32770, 400000, fi, 1, 97.51
pos, full-train, 0.2, 0.2, 32770, 400000, fi, 2, 97.59
pos, full-train, 0.2, 0.2, 32770, 400000, fi, 3, 97.26
pos, full-train, 0.2, 0.2, 32770, 400000, fi, 4, 97.48
pos, full-train, 0.2, 0.2, 32770, 400000, hu, 1, 96.08
pos, full-train, 0.2, 0.2, 32770, 400000, hu, 2, 95.79
pos, full-train, 0.2, 0.2, 32770, 400000, hu, 3, 95.78
pos, full-train, 0.2, 0.2, 32770, 400000, hu, 4, 95.81
pos, full-train, 0.2, 0.2, 32770, 400000, ru, 1, 98.53
pos, full-train, 0.2, 0.2, 32770, 400000, ru, 2, 98.52
pos, full-train, 0.2, 0.2, 32770, 400000, ru, 3, 98.54
pos, full-train, 0.2, 0.2, 32770, 400000, ru, 4, 98.53
pos, zero-shot, NA, 0.2, 0, 100000, kpv, 1, 69.01
pos, zero-shot, NA, 0.2, 0, 100000, krl, 1, 85.07
pos, zero-shot, NA, 0.2, 0, 100000, mdf, 1, 71.5
pos, zero-shot, NA, 0.2, 0, 100000, olo, 1, 82.19
pos, zero-shot, NA, 0.2, 0, 100000, sms, 1, 56.46
pos, zero-shot, NA, 0.2, 0, 100000, kpv, 2, 69.66
pos, zero-shot, NA, 0.2, 0, 100000, krl, 2, 85.59
pos, zero-shot, NA, 0.2, 0, 100000, mdf, 2, 72.7
pos, zero-shot, NA, 0.2, 0, 100000, olo, 2, 82.12
pos, zero-shot, NA, 0.2, 0, 100000, sms, 2, 56.22
pos, zero-shot, NA, 0.2, 0, 100000, kpv, 3, 68.24
pos, zero-shot, NA, 0.2, 0, 100000, krl, 3, 85.16
pos, zero-shot, NA, 0.2, 0, 100000, mdf, 3, 71.62
pos, zero-shot, NA, 0.2, 0, 100000, olo, 3, 82.06
pos, zero-shot, NA, 0.2, 0, 100000, sms, 3, 54.94
pos, zero-shot, NA, 0.2, 0, 100000, kpv, 4, 69.68
pos, zero-shot, NA, 0.2, 0, 100000, krl, 4, 85.2
pos, zero-shot, NA, 0.2, 0, 100000, mdf, 4, 72.68
pos, zero-shot, NA, 0.2, 0, 100000, olo, 4, 82.73
pos, zero-shot, NA, 0.2, 0, 100000, sms, 4, 55.7
pos, full-train, 0.2, 0.2, 131074, 400000, myv, 1, 81.46
pos, full-train, 0.2, 0.2, 131074, 400000, myv, 2, 81.22
pos, full-train, 0.2, 0.2, 131074, 400000, myv, 3, 83.41
pos, full-train, 0.2, 0.2, 131074, 400000, myv, 4, 81.5
pos, full-train, 0.2, 0.2, 131074, 400000, sme, 1, 92.25
pos, full-train, 0.2, 0.2, 131074, 400000, sme, 2, 90.91
pos, full-train, 0.2, 0.2, 131074, 400000, sme, 3, 91.92
pos, full-train, 0.2, 0.2, 131074, 400000, sme, 4, 92.27
pos, full-train, 0.2, 0.2, 131074, 400000, et, 1, 95.91
pos, full-train, 0.2, 0.2, 131074, 400000, et, 2, 95.58
pos, full-train, 0.2, 0.2, 131074, 400000, et, 3, 95.48
pos, full-train, 0.2, 0.2, 131074, 400000, et, 4, 95.3
pos, full-train, 0.2, 0.2, 131074, 400000, fi, 1, 97.54
pos, full-train, 0.2, 0.2, 131074, 400000, fi, 2, 97.53
pos, full-train, 0.2, 0.2, 131074, 400000, fi, 3, 97.72
pos, full-train, 0.2, 0.2, 131074, 400000, fi, 4, 97.32
pos, full-train, 0.2, 0.2, 131074, 400000, hu, 1, 96.06
pos, full-train, 0.2, 0.2, 131074, 400000, hu, 2, 96.03
pos, full-train, 0.2, 0.2, 131074, 400000, hu, 3, 95.93
pos, full-train, 0.2, 0.2, 131074, 400000, hu, 4, 96.03
pos, full-train, 0.2, 0.2, 131074, 400000, ru, 1, 98.47
pos, full-train, 0.2, 0.2, 131074, 400000, ru, 2, 98.53
pos, full-train, 0.2, 0.2, 131074, 400000, ru, 3, 98.54
pos, full-train, 0.2, 0.2, 131074, 400000, ru, 4, 98.5
pos, zero-shot, NA, 0.4, 0, 100000, kpv, 1, 62.67
pos, zero-shot, NA, 0.4, 0, 100000, krl, 1, 84.29
pos, zero-shot, NA, 0.4, 0, 100000, mdf, 1, 68.81
pos, zero-shot, NA, 0.4, 0, 100000, olo, 1, 81.38
pos, zero-shot, NA, 0.4, 0, 100000, sms, 1, 55.63
pos, zero-shot, NA, 0.4, 0, 100000, kpv, 2, 63.54
pos, zero-shot, NA, 0.4, 0, 100000, krl, 2, 84.62
pos, zero-shot, NA, 0.4, 0, 100000, mdf, 2, 68.1
pos, zero-shot, NA, 0.4, 0, 100000, olo, 2, 80.44
pos, zero-shot, NA, 0.4, 0, 100000, sms, 2, 54.97
pos, zero-shot, NA, 0.4, 0, 100000, kpv, 3, 63.33
pos, zero-shot, NA, 0.4, 0, 100000, krl, 3, 84.65
pos, zero-shot, NA, 0.4, 0, 100000, mdf, 3, 69.2
pos, zero-shot, NA, 0.4, 0, 100000, olo, 3, 81.32
pos, zero-shot, NA, 0.4, 0, 100000, sms, 3, 55.94
pos, zero-shot, NA, 0.4, 0, 100000, kpv, 4, 62.7
pos, zero-shot, NA, 0.4, 0, 100000, krl, 4, 84.23
pos, zero-shot, NA, 0.4, 0, 100000, mdf, 4, 68.86
pos, zero-shot, NA, 0.4, 0, 100000, olo, 4, 80.65
pos, zero-shot, NA, 0.4, 0, 100000, sms, 4, 54.39
pos, zero-shot, 0.2, 0.3, 131074, 100000, kpv, 1, 66.26
pos, zero-shot, 0.2, 0.3, 131074, 100000, krl, 1, 83.52
pos, zero-shot, 0.2, 0.3, 131074, 100000, mdf, 1, 69.47
pos, zero-shot, 0.2, 0.3, 131074, 100000, olo, 1, 82.12
pos, zero-shot, 0.2, 0.3, 131074, 100000, sms, 1, 52.59
pos, zero-shot, 0.2, 0.3, 131074, 100000, kpv, 2, 64.39
pos, zero-shot, 0.2, 0.3, 131074, 100000, krl, 2, 84.0
pos, zero-shot, 0.2, 0.3, 131074, 100000, mdf, 2, 68.9
pos, zero-shot, 0.2, 0.3, 131074, 100000, olo, 2, 80.91
pos, zero-shot, 0.2, 0.3, 131074, 100000, sms, 2, 52.42
pos, zero-shot, 0.2, 0.3, 131074, 100000, kpv, 3, 65.04
