task, setting, vocab_alpha, lapt_alpha, vocab_size, lapt_steps, language, seed, accuracy
uas, zero-shot, 0.2, 0.2, 16386, 100000, kpv, 1, 63.68
uas, zero-shot, 0.2, 0.2, 16386, 100000, krl, 1, 63.38
uas, zero-shot, 0.2, 0.2, 16386, 100000, mdf, 1, 60.92
uas, zero-shot, 0.2, 0.2, 16386, 100000, olo, 1, 64.11
uas, zero-shot, 0.2, 0.2, 16386, 100000, sms, 1, 41.26
uas, zero-shot, 0.2, 0.2, 16386, 100000, kpv, 2, 64.26
uas, zero-shot, 0.2, 0.2, 16386, 100000, krl, 2, 63.74
uas, zero-shot, 0.2, 0.2, 16386, 100000, mdf, 2, 61.92
uas, zero-shot, 0.2, 0.2, 16386, 100000, olo, 2, 64.25
uas, zero-shot, 0.2, 0.2, 16386, 100000, sms, 2, 42.61
uas, zero-shot, 0.2, 0.2, 16386, 100000, kpv, 3, 64.3
uas, zero-shot, 0.2, 0.2, 16386, 100000, krl, 3, 63.22
uas, zero-shot, 0.2, 0.2, 16386, 100000, mdf, 3, 61.26
uas, zero-shot, 0.2, 0.2, 16386, 100000, olo, 3, 63.44
uas, zero-shot, 0.2, 0.2, 16386, 100000, sms, 3, 44.34
uas, zero-shot, 0.2, 0.2, 16386, 100000, kpv, 4, 63.27
uas, zero-shot, 0.2, 0.2, 16386, 100000, krl, 4, 63.61
uas, zero-shot, 0.2, 0.2, 16386, 100000, mdf, 4, 61.85
uas, zero-shot, 0.2, 0.2, 16386, 100000, olo, 4, 62.43
uas, zero-shot, 0.2, 0.2, 16386, 100000, sms, 4, 44.92
uas, zero-shot, 0.1, 0.2, 32770, 200000, kpv, 1, 69.57
uas, zero-shot, 0.1, 0.2, 32770, 200000, krl, 1, 64.77
uas, zero-shot, 0.1, 0.2, 32770, 200000, mdf, 1, 66.31
uas, zero-shot, 0.1, 0.2, 32770, 200000, olo, 1, 66.06
uas, zero-shot, 0.1, 0.2, 32770, 200000, sms, 1, 45.27
uas, zero-shot, 0.1, 0.2, 32770, 200000, kpv, 2, 68.56
uas, zero-shot, 0.1, 0.2, 32770, 200000, krl, 2, 65.58
uas, zero-shot, 0.1, 0.2, 32770, 200000, mdf, 2, 68.44
uas, zero-shot, 0.1, 0.2, 32770, 200000, olo, 2, 66.4
uas, zero-shot, 0.1, 0.2, 32770, 200000, sms, 2, 44.89
uas, zero-shot, 0.1, 0.2, 32770, 200000, kpv, 3, 69.58
uas, zero-shot, 0.1, 0.2, 32770, 200000, krl, 3, 64.51
uas, zero-shot, 0.1, 0.2, 32770, 200000, mdf, 3, 66.26
uas, zero-shot, 0.1, 0.2, 32770, 200000, olo, 3, 66.26
uas, zero-shot, 0.1, 0.2, 32770, 200000, sms, 3, 43.51
uas, zero-shot, 0.1, 0.2, 32770, 200000, kpv, 4, 68.93
uas, zero-shot, 0.1, 0.2, 32770, 200000, krl, 4, 64.67
uas, zero-shot, 0.1, 0.2, 32770, 200000, mdf, 4, 66.45
uas, zero-shot, 0.1, 0.2, 32770, 200000, olo, 4, 65.79
uas, zero-shot, 0.1, 0.2, 32770, 200000, sms, 4, 43.06
uas, full-train, 0.2, 0.2, 131074, 400000, myv, 1, 69.6
uas, full-train, 0.2, 0.2, 131074, 400000, myv, 2, 64.29
uas, full-train, 0.2, 0.2, 131074, 400000, myv, 3, 70.51
uas, full-train, 0.2, 0.2, 131074, 400000, myv, 4, 69.91
uas, full-train, 0.2, 0.2, 131074, 400000, sme, 1, 73.12
uas, full-train, 0.2, 0.2, 131074, 400000, sme, 2, 74.75
uas, full-train, 0.2, 0.2, 131074, 400000, sme, 3, 73.69
uas, full-train, 0.2, 0.2, 131074, 400000, sme, 4, 75.08
uas, full-train, 0.2, 0.2, 131074, 400000, et, 1, 85.45
uas, full-train, 0.2, 0.2, 131074, 400000, et, 2, 86.8
uas, full-train, 0.2, 0.2, 131074, 400000, et, 3, 85.42
uas, full-train, 0.2, 0.2, 131074, 400000, et, 4, 86.76
uas, full-train, 0.2, 0.2, 131074, 400000, fi, 1, 94.03
uas, full-train, 0.2, 0.2, 131074, 400000, fi, 2, 93.97
uas, full-train, 0.2, 0.2, 131074, 400000, fi, 3, 94.14
uas, full-train, 0.2, 0.2, 131074, 400000, fi, 4, 93.78
uas, full-train, 0.2, 0.2, 131074, 400000, hu, 1, 84.58
uas, full-train, 0.2, 0.2, 131074, 400000, hu, 2, 86.53
uas, full-train, 0.2, 0.2, 131074, 400000, hu, 3, 85.75
uas, full-train, 0.2, 0.2, 131074, 400000, hu, 4, 85.68
uas, full-train, 0.2, 0.2, 131074, 400000, ru, 1, 94.81
uas, full-train, 0.2, 0.2, 131074, 400000, ru, 2, 94.82
uas, full-train, 0.2, 0.2, 131074, 400000, ru, 3, 94.89
uas, full-train, 0.2, 0.2, 131074, 400000, ru, 4, 94.94
uas, full-train, 0.2, 0.4, 131074, 100000, myv, 1, 50.67
uas, full-train, 0.2, 0.4, 131074, 100000, myv, 2, 50.79
uas, full-train, 0.2, 0.4, 131074, 100000, myv, 3, 54.21
